INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
3179,Physician Office Laboratories,Foundation Chiropractic,112 Court St,New Castle,KY,40050,(502) 667-6527,,,N/A,N/A,N/A,-85.1688708,38.43385
3180,Physician Office Laboratories,"Foundations Primary Care, Llc",249 Main Street,Cadiz,KY,42211,(270) 206-7114,,,N/A,N/A,N/A,-87.82190289,36.86721518
3181,Physician Office Laboratories,Four Rivers Internal Medicine Pllc,3131 Parisa Drive,Paducah,KY,42003,(270) 444-8000,,,N/A,N/A,N/A,-88.63549751,37.06426597
3182,Physician Office Laboratories,"Frank R Burns, Md Plc",13324 Shelbyville Road,Louisville,KY,40223,(502) 245-0305,,,N/A,N/A,N/A,-85.50912293,38.24245301
3183,Physician Office Laboratories,"Frankfort Family Care Center, Pllc",6 Physicians Park,Frankfort,KY,40601,(502) 227-4723,,,N/A,N/A,N/A,-84.9089761,38.16143436
3184,Physician Office Laboratories,Fresh Start Health Psc,207 N Carol Malone Blvd Ste 3,Grayson,KY,41143,(606) 225-8200,,,N/A,N/A,N/A,-82.94703022,38.32787391
3185,Physician Office Laboratories,Fresh Start Health Psc,207 Plummer Lane,Vanceburg,KY,41179,(606) 225-8200,,,N/A,N/A,N/A,-83.32337761,38.59770773
3186,Physician Office Laboratories,Fresh Start Health Psc,150 Newtown Square,Morehead,KY,40351,(606) 225-8200,,,N/A,N/A,N/A,,
3187,Physician Office Laboratories,"Fresh Start Health, Psc",336 29Th Street Suite 203,Ashland,KY,41101,(312) 498-7387,,,N/A,N/A,N/A,-82.62490053,38.46872628
3188,Physician Office Laboratories,Frogge Family Medicine,410 Hotchkiss St,Campbellsville,KY,42718,(270) 465-0191,,,N/A,N/A,N/A,-85.34097699,37.34176035
3189,Physician Office Laboratories,Frontier Behavioral Health Center Pllc,400 University Drive Ste 102B,Prestonsburg,KY,41653,(919) 471-5474,,,N/A,N/A,N/A,-82.7808757,37.6821413
3190,Physician Office Laboratories,"Frontier Medical Associates Of Prestonsburg, Inc",400 University Drive Stes 211A And 101,Prestonsburg,KY,41653,(606) 886-6622,,,N/A,N/A,N/A,-82.7808757,37.6821413
3191,Physician Office Laboratories,Gaddie Eye Center-Lagrange,1917 South Highway 53,La Grange,KY,40031,(502) 225-0301,,,N/A,N/A,N/A,-85.36763357,38.39550412
3192,Physician Office Laboratories,Gaddie Eye Center-Louisville,7635 Shelbyville Road,Louisville,KY,40222,(502) 423-8500,,,N/A,N/A,N/A,-85.61274207,38.24941825
3193,Physician Office Laboratories,Gaddie Eye Centers,2555 Highway 227,Carrollton,KY,41008,(502) 732-5006,,,N/A,N/A,N/A,-85.13369458,38.65717576
3194,Physician Office Laboratories,Gaddie Eye Centers,9850 Von Allman Court,Louisville,KY,40241,(502) 429-3630,,,N/A,N/A,N/A,-85.56945322,38.31281309
3195,Physician Office Laboratories,Gamaliel Clinic,102 Rhodes Street,Gamaliel,KY,42140,(502) 457-3000,,,N/A,N/A,N/A,-85.79707061,36.63933609
3196,Physician Office Laboratories,Gameday Men'S Health Fort Mitchell,2670 Chancellor Drive Suite 190,Crestview Hills,KY,41017,(859) 365-2211,,,N/A,N/A,N/A,-84.56045781,39.02392346
3197,Physician Office Laboratories,Garrard Clinic,405 Danville St,Lancaster,KY,40444,(859) 792-2124,,,N/A,N/A,N/A,-84.58911315,37.62029025
3198,Physician Office Laboratories,"Gary Weinberger, Md, Psc",610 North Main Street,Nicholasville,KY,40356,(859) 881-0533,,,N/A,N/A,N/A,-84.56959887,37.88835356
3199,Physician Office Laboratories,Gastroenterology And Hepatology Of The Bluegrass,"1138 Lexington Rd, Suite 140",Georgetown,KY,40324,(502) 570-3782,,,N/A,N/A,N/A,-84.56222056,38.18585882
3200,Physician Office Laboratories,Gastroenterology Associates Of Lake Cumberland,56 Tower Circle,Somerset,KY,42503,(606) 677-2913,,,N/A,N/A,N/A,-84.6260855,37.08196562
3201,Physician Office Laboratories,"Gateway Recovery Clinic, Pllc","250 Foxglove Drive, Suite 3",Mount Sterling,KY,40353,(859) 432-8002,,,N/A,N/A,N/A,-83.95702704,38.06561304
3202,Physician Office Laboratories,Gaurang Shah Md,2025 Corporate Dr Suite #1,Richmond,KY,40475,(606) 625-0045,,,N/A,N/A,N/A,-84.27060998,37.73144225
3203,Physician Office Laboratories,Gay Fulkerson Md Psc,310 South Main Street,Leitchfield,KY,42754,(270) 259-4666,Gay Fulkerson,,N/A,N/A,N/A,-86.29421991,37.47705029
3204,Physician Office Laboratories,Gcg - Bowling Green Medical Clinic,1777 Ashley Circle,Bowling Green,KY,42104,(270) 781-4090,Rebecca Porter,,N/A,N/A,N/A,-86.43705928,36.9673717
3205,Physician Office Laboratories,"Geaux Ville, Llc D/B/A Gameday Men'S Health","9400 Williamsburg Plaza, Suite 340",Louisville,KY,40222,(502) 523-7527,,,N/A,N/A,N/A,-85.58053616,38.24053254
3206,Physician Office Laboratories,"Geeta Chavda, Md",1739 Canton Street,Hopkinsville,KY,42240,(270) 881-1411,,,N/A,N/A,N/A,-87.49774736,36.86133988
3207,Physician Office Laboratories,General Medical Laboratory,336 North Mayo Trail Mayo Plaza,Paintsville,KY,41240,(606) 789-1031,,,N/A,N/A,N/A,-82.81576232121868,-82.81576232121868
3208,Physician Office Laboratories,Generations Primary Care Psc,270 Burley Drive,Hopkinsville,KY,42240,(270) 887-6767,,,N/A,N/A,N/A,-87.50872834,36.82632595
3209,Physician Office Laboratories,Genesis Wellness Center Pllc,3000 1/2 S 5Th St,Louisville,KY,40208,(502) 644-9162,,,N/A,N/A,N/A,-85.76707697,38.20654701
3210,Physician Office Laboratories,George H Caudill Psc,1893 Redfox Road,Redfox,KY,41847,(606) 642-3250,,,N/A,N/A,N/A,-82.94748299,37.21458635
3211,Physician Office Laboratories,Georgetown Express Care,105 Prather Path Suite 1-200,Georgetown,KY,40324,(502) 570-3785,,,N/A,N/A,N/A,-84.66810767,38.21050865
3212,Physician Office Laboratories,Georgetown Family And Community Medicine,202 Bevins Lane,Georgetown,KY,40324,(859) 323-9333,,,N/A,N/A,N/A,-84.56684827,38.18263502
3213,Physician Office Laboratories,Georgetown Family Physicians,105 Prather Path Suite 1-100,Georgetown,KY,40324,(502) 867-0222,,,N/A,N/A,N/A,-84.66810767,38.21050865
3214,Physician Office Laboratories,Georgetown Internal Medicine,"200 Bevins Lane, Suite A",Georgetown,KY,40324,(502) 863-0722,,,N/A,N/A,N/A,-84.5668266,38.18262975
3215,Physician Office Laboratories,Georgetown Pediatrics Psc,1162 Lexington Road,Georgetown,KY,40324,(502) 863-6426,,,N/A,N/A,N/A,-84.56176777,38.18479991
3216,Physician Office Laboratories,Georgetown Urgent Care,"111 Osbourne Way, Suite 101",Georgetown,KY,40324,(859) 466-8956,,,N/A,N/A,N/A,-84.53728199,38.23176629
3217,Physician Office Laboratories,Getwell Mental Health,5115 E. 10Th Street,Louisville,KY,40214,(502) 233-3030,,,N/A,N/A,N/A,-85.767379,-85.767379
3218,Physician Office Laboratories,Getwell Recovery,106 E. Jefferson St.,La Grange,KY,40031,(502) 233-3290,,,N/A,N/A,N/A,-85.37905605,38.40861167
3219,Physician Office Laboratories,Ggc- Allen Clinic,746 Campbell Ln Ste 101,Bowling Green,KY,42104,(270) 843-9510,,,N/A,N/A,N/A,-86.47275344,36.9645286
3220,Physician Office Laboratories,Ggc-Munfordville-Pandeya,950 Main Street,Munfordville,KY,42765,(270) 524-1201,,,N/A,N/A,N/A,-85.8913465,37.2721462
3221,Physician Office Laboratories,"Ghayth M Hammad, Md, Psc",234 West Porter Street,Morgantown,KY,42261,(270) 526-9652,,,N/A,N/A,N/A,-86.68609907,37.22555386
3222,Physician Office Laboratories,"Gi For Kids, Pllc",1040 Cumberland Falls Hwy Suite B,Corbin,KY,40701,(865) 546-3998,,,N/A,N/A,N/A,-84.10386473,36.92976214
3223,Physician Office Laboratories,"Glk Enterprises, Llc Dba Wilkes Clinic",104 Mohawk Street,Brownsville,KY,42210,(270) 597-2155,Sanjay Kaul,,N/A,N/A,N/A,-86.26369112,37.18999225
3224,Physician Office Laboratories,Gml Pain Md Psc Operating As Specialist In Pain,11300 Maple Brook Drive,Louisville,KY,40241,(502) 253-0505,,,N/A,N/A,N/A,-85.54479449,38.3012915
3225,Physician Office Laboratories,Good Samaritan Hospital Interventional Pain,310 South Limestone,Lexington,KY,40508,(859) 323-7246,,,N/A,N/A,N/A,-84.50137875,38.04324994
3226,Physician Office Laboratories,Grace Health Levi Center Clinic,934 South Laurel Rd Suite1,London,KY,40744,(606) 526-8604,,,N/A,N/A,N/A,-84.06624343,37.09536789
3227,Physician Office Laboratories,Grand Lakes Clinic,1860 J H O'Bryan Ave,Grand Rivers,KY,42045,(270) 362-8246,,,N/A,N/A,N/A,-88.23413364,37.00151488
3228,Physician Office Laboratories,"Grateful Doc, Llc","2101 Nicholasville Road, Suite 400",Lexington,KY,40503,(859) 373-0643,,,N/A,N/A,N/A,-84.51681244,38.01124571
3229,Physician Office Laboratories,Graves Gilbert Clinic - Glasgow,1330 N Race St,Glasgow,KY,42141,(270) 629-5111,Jacqueline Granese,,N/A,N/A,N/A,-85.9042486,37.01222669
3230,Physician Office Laboratories,Graves Gilbert Clinic - Morgantown,101 W Roberts St,Morgantown,KY,42261,(270) 526-3841,Jacqueline Granese,,N/A,N/A,N/A,-86.68231805,37.22688189
3231,Physician Office Laboratories,Graves Gilbert Clinic - Pediatric Associates,1211 Ashley Circle,Bowling Green,KY,42104,(270) 783-0474,Jeffries Blackerby,,N/A,N/A,N/A,-86.43418921,36.96981659
3232,Physician Office Laboratories,Graves Gilbert Clinic - Prime Care,990 Wilkinson Trace,Bowling Green,KY,42103,(270) 393-5210,John Gover,,N/A,N/A,N/A,-86.4285883,36.9676375
3233,Physician Office Laboratories,Graves Gilbert Clinic - Walk-In Care,1225 Fairway St,Bowling Green,KY,42103,(270) 467-9494,Medhat Grace,,N/A,N/A,N/A,-86.43218914,36.96908145
3234,Physician Office Laboratories,Graves Gilbert Clinic Brownsville,100 Park Place Suite 4,Brownsville,KY,42210,(270) 467-8426,,,N/A,N/A,N/A,-87.4810507,-87.4810507
3235,Physician Office Laboratories,Graves Gilbert Clinic Cave City Williams,400 N Dixie Highway,Cave City,KY,42127,(270) 773-3737,Roger Williams,,N/A,N/A,N/A,-85.95872127,37.13346392
3236,Physician Office Laboratories,Graves Gilbert Clinic D Granese,720 2Nd Street Suite 303,Bowling Green,KY,42101,(270) 843-5116,,,N/A,N/A,N/A,-86.42906103,36.99667332
3237,Physician Office Laboratories,Graves Gilbert Clinic Family Care Center,2724 Nashville Rd,Bowling Green,KY,42101,(270) 467-8757,Yvonne Hermann,,N/A,N/A,N/A,-86.47313854,36.95511177
3238,Physician Office Laboratories,Graves Gilbert Clinic Franklin Red Oak,1112 South Main St,Franklin,KY,42134,(270) 482-0101,Yvonne Hermann,,N/A,N/A,N/A,-86.57241746,36.70004033
3239,Physician Office Laboratories,Graves Gilbert Clinic Mohs Laboratory,"1065 Ashley St, Suite 200",Bowling Green,KY,42103,(270) 467-8514,Wilfred Lumbang,,N/A,N/A,N/A,-86.43010725,36.96694216
3240,Physician Office Laboratories,Graves Gilbert Clinic Psc,1405 Nashville St,Russellville,KY,42276,(270) 720-2550,,,N/A,N/A,N/A,-86.88243371,36.81495311
3241,Physician Office Laboratories,Graves Gilbert Clinic Urology Group,1325 Andrea Street,Bowling Green,KY,42104,(270) 781-5111,,,N/A,N/A,N/A,-86.43532131,36.96414437
3242,Physician Office Laboratories,Gravett Clinic,517 Washington Street,Shelbyville,KY,40065,(502) 633-0120,,,N/A,N/A,N/A,-85.21597346,38.21180365
3243,Physician Office Laboratories,"Grayson County Family Medicine, Pllc",722 W Main St,Clarkson,KY,42726,(270) 971-1231,,,N/A,N/A,N/A,-86.22773474,37.49563484
3244,Physician Office Laboratories,Greater Louisville Internal Medicine,9517 Us Highway 42,Prospect,KY,40059,(502) 214-8107,,,N/A,N/A,N/A,-85.61726202,38.34298225
3245,Physician Office Laboratories,Greater Louisville Internal Medicine Norwood,7410 New Lagrange Rd #120,Louisville,KY,40222,(502) 214-8107,,,N/A,N/A,N/A,-85.61513245,38.25245419
3246,Physician Office Laboratories,Green County Primary Care,310 Industrial Park Road,Greensburg,KY,42743,(270) 299-2247,,,N/A,N/A,N/A,-85.49325749,37.24574977
3247,Physician Office Laboratories,Green Path Wellness,"301 W Main St, Ste 202",Danville,KY,40422,(859) 374-1889,,,N/A,N/A,N/A,-84.77249841,37.64587765
3248,Physician Office Laboratories,Greenup Health And Wellness,1621 Ashland Rd Suite 1,Greenup,KY,41144,(606) 694-0240,,,N/A,N/A,N/A,,
3249,Physician Office Laboratories,Grw Lab,404 Shoppers Drive,Winchester,KY,40391,(859) 737-5333,,,N/A,N/A,N/A,-84.21638614,38.00289965
3250,Physician Office Laboratories,Hancock Health Llc,185 State Route 271 S,Lewisport,KY,42351,(270) 927-9991,,,N/A,N/A,N/A,-86.80681698,37.91769093
3251,Physician Office Laboratories,"Harbor Of Hope Medical And Behavioral Health Care,","185 Treuhaft Blvd, Ste 4",Barbourville,KY,40906,(606) 545-6766,,,N/A,N/A,N/A,,
3252,Physician Office Laboratories,"Harold T Pretorius, Md",324 Greenup Street,Covington,KY,41011,(513) 531-3797,,,N/A,N/A,N/A,-84.5078927,39.08806955
3253,Physician Office Laboratories,"Harshul Patel, Md",1724 Kenton St Doctor Pavilion,Hopkinsville,KY,42240,(270) 887-9066,,,N/A,N/A,N/A,-87.49613336,36.86137106
3254,Physician Office Laboratories,Hart Ophthalmology Assoc,300 South 8Th Ste 505 East,Murray,KY,42071,(502) 753-3131,,,N/A,N/A,N/A,-88.30861651,36.60749119
3255,Physician Office Laboratories,"Havehope Counseling And Consulting, Pllc",1448 S 15Th Street,Louisville,KY,40210,(502) 290-3050,,,N/A,N/A,N/A,-85.77993215,38.22948395
3256,Physician Office Laboratories,Hayden Vision,603 Barrett Blvd,Henderson,KY,42420,(270) 826-5100,,,N/A,N/A,N/A,-87.5703434,37.86230686
3257,Physician Office Laboratories,Healing Hands Health Center,1321 Cumberland Falls Highway Suite 103,Corbin,KY,40701,(606) 215-3144,,,N/A,N/A,N/A,-84.1094804,36.92754048
3258,Physician Office Laboratories,Health Connections Direct Primary Care Pllc,75 Cavalier Boulevard Suite 211,Florence,KY,41042,(859) 905-0707,,,N/A,N/A,N/A,-84.63418554,39.00850587
3259,Physician Office Laboratories,Health First Community Health Center,295 East Main Street,Calhoun,KY,42327,(270) 273-9310,,,N/A,N/A,N/A,-87.25841844,37.53817289
3260,Physician Office Laboratories,Health First Community Health Center,140 Veterans Memorial Ave,Clay,KY,42404,(270) 667-7017,,,N/A,N/A,N/A,,
3261,Physician Office Laboratories,"Health Quest Medical Care, Psc",1003 Burlew Blvd,Owensboro,KY,42303,(270) 683-3073,,,N/A,N/A,N/A,-87.09320364,37.74202692
3262,Physician Office Laboratories,"Healthcare For Kids & Teens, Pllc",54 Miller Pike,Lebanon,KY,40033,(270) 692-9015,,,N/A,N/A,N/A,-85.29546489,37.55223509
3263,Physician Office Laboratories,Healthpoint Family Care Inc,101 Orchard Drive,Nicholasville,KY,40356,(859) 881-4288,,,N/A,N/A,N/A,-84.56331722,37.89403545
3264,Physician Office Laboratories,Healthway Internal Medicine & Pediatrics Pllc,1009 North Dixie Avenue,Elizabethtown,KY,42701,(270) 765-4361,,,N/A,N/A,N/A,-85.8757201,37.7115896
3265,Physician Office Laboratories,"Healthworks Medical, Llc",2341 New Holt Road,Paducah,KY,42001,(270) 408-9355,,,N/A,N/A,N/A,-88.69494208,37.06335367
3266,Physician Office Laboratories,Healthy Living Primary Care Dba,"4400 Breckinridge Lane, Suite 147",Louisville,KY,40218,(502) 708-1904,,,N/A,N/A,N/A,-85.62642418,38.18384376
3267,Physician Office Laboratories,"Heart Center Of Somerset, Pllc, The","104 Hardin Lane, Suite B",Somerset,KY,42503,(606) 677-1112,,,N/A,N/A,N/A,-84.62104087,37.08634707
3268,Physician Office Laboratories,Heartland Imaging Dixie Highway,"5227 Dixie Highway, Suite 100",Louisville,KY,40216,(502) 429-6500,,,N/A,N/A,N/A,-85.8316408,38.16208642
3269,Physician Office Laboratories,Heartland Imaging Shelbyville Road,"7807 Shelbyville Road, Suite 100",Louisville,KY,40222,(502) 429-6500,,,N/A,N/A,N/A,-85.60982888,38.24915403
3270,Physician Office Laboratories,Heartland Womans Healthcare Pllc,1201 Woodland Dr,Elizabethtown,KY,42701,(270) 737-2727,,,N/A,N/A,N/A,-85.88171004,37.71569216
3271,Physician Office Laboratories,Henry Casey Covington Pllc,1602 Canton Street Suite A,Hopkinsville,KY,42240,(270) 886-1773,,,N/A,N/A,N/A,-87.49493751,36.86300985
3272,Physician Office Laboratories,"Henry G Wells, Jr Md Psc",1707 Nicholasville Rd,Lexington,KY,40503,(859) 255-6649,,,N/A,N/A,N/A,-84.51375215,38.01986891
3273,Physician Office Laboratories,"Heritage,The",192 Bacon Creek Road,Corbin,KY,40701,(606) 526-1900,,,N/A,N/A,N/A,-84.11804896,36.9171056
3274,Physician Office Laboratories,Highlands Cancer Center,4958 Kentucky Highway 321,Prestonsburg,KY,41653,(606) 886-0999,,,N/A,N/A,N/A,-82.76830812909793,-82.76830812909793
3275,Physician Office Laboratories,Hitachi Astemo Berea Health Center,301 Mayde Rd,Berea,KY,40403,(859) 347-3840,,,N/A,N/A,N/A,-84.31007517,37.60261904
3276,Physician Office Laboratories,Hmh Physician Group,1445 Ky Hwy 36 East,Cynthiana,KY,41031,(859) 235-3562,,,N/A,N/A,N/A,-84.27305724,38.38231855
3277,Physician Office Laboratories,Hmh Primary Care Main Campus,1210 Kentucky Highway 36 East,Cynthiana,KY,41031,(859) 234-9955,,,N/A,N/A,N/A,-84.31452813,38.40360016
3278,Physician Office Laboratories,Hmh Primary Care Pleasant,439 East Pleasant,Cynthiana,KY,41031,(859) 234-4494,,,N/A,N/A,N/A,-84.28704642,38.38954444
3279,Physician Office Laboratories,Hmh Speciality Clinic,1210 Ky Hwy 36 East,Cynthiana,KY,41031,(859) 235-3562,,,N/A,N/A,N/A,-84.31452813,38.40360016
3280,Physician Office Laboratories,Hmh Urology Clinic,1210 Ky Hwy 36E Suite 1D,Cynthiana,KY,41031,(859) 234-1707,,,N/A,N/A,N/A,-84.31452813,38.40360016
3281,Physician Office Laboratories,Hmps Internal Medicine Of West Louisville,927 W Main Street,Louisville,KY,40202,(502) 548-7791,,,N/A,N/A,N/A,-85.76588544,38.2577001
3282,Physician Office Laboratories,Homeplace Clinic For Children & Families,1330 S Mayo Trail Ste 201,Pikeville,KY,41501,(606) 432-0123,Rakesh Sachdeva,,N/A,N/A,N/A,-82.52476751,37.4438087
3283,Physician Office Laboratories,Hometown Clinic,96 Highway 80,Hyden,KY,41749,(606) 672-8571,,,N/A,N/A,N/A,-83.36955155,37.15544799
3284,Physician Office Laboratories,Hometown Healthcare,325 East Broadway Suite 2,Campbellsville,KY,42718,(270) 937-9030,,,N/A,N/A,N/A,-85.34775,37.34075732
3285,Physician Office Laboratories,"Hope Center Services, Llc",1524 Versailes Rd,Lexington,KY,40504,(859) 252-2002,,,N/A,N/A,N/A,-84.5292471,38.04915685
3286,Physician Office Laboratories,"Hope Center Services, Llc",360 W Loudoun Ave,Lexington,KY,40508,(859) 252-2002,,,N/A,N/A,N/A,-84.49488692,38.0625617
3287,Physician Office Laboratories,"Hope Center Services, Llc",289 W Loudon Ave,Lexington,KY,40508,(859) 252-2002,,,N/A,N/A,N/A,-84.49172875,38.06289082
3288,Physician Office Laboratories,Hope Primary & Urgent Care Of Somerset Pllc,298 Bogle St #A,Somerset,KY,42503,(606) 677-0094,,,N/A,N/A,N/A,-84.62169069,37.08411622
3289,Physician Office Laboratories,"Hopkins Medical Association, Llc","206 Kentucky Road, Rt 979",Harold,KY,41635,(606) 478-2144,,,N/A,N/A,N/A,,
3290,Physician Office Laboratories,Horizon Health,934 South Laurel Rd,London,KY,40744,(606) 657-2030,,,N/A,N/A,N/A,-84.06624343,37.09536789
3291,Physician Office Laboratories,Horizon Health,9555 N Us Hwy 25 E,Gray,KY,40734,(606) 620-4726,,,N/A,N/A,N/A,-83.96750420708183,-83.96750420708183
3292,Physician Office Laboratories,Horizon Health - Williamsburg,114 North Second Street,Williamsburg,KY,40769,(606) 657-2030,,,N/A,N/A,N/A,-84.16380659421083,-84.16380659421083
3293,Physician Office Laboratories,Horizon Recovery,113 Hode Rd,Warfield,KY,41267,(606) 390-2622,,,N/A,N/A,N/A,-82.41891388,37.84498552
3294,Physician Office Laboratories,"Hoskins Lab, Llc","1120 Reuben Street, Suite A",London,KY,40741,(606) 862-7000,,,N/A,N/A,N/A,-84.0936987548764,-84.0936987548764
3295,Physician Office Laboratories,Hoskins Medical Center,"1120 Reuben Street, Suite A",London,KY,40741,(606) 862-7000,,,N/A,N/A,N/A,-84.0936987548764,-84.0936987548764
3296,Physician Office Laboratories,"Hoskins Medical Center, Llc",1120 Reuben Street,London,KY,40741,(606) 401-6020,,,N/A,N/A,N/A,-84.0928766,37.1352704
3297,Physician Office Laboratories,Hsieh Medical Associates Pllc,1402 Andrea Street,Bowling Green,KY,42104,(270) 781-0167,,,N/A,N/A,N/A,-86.43728055,36.96297338
3298,Physician Office Laboratories,"Huffman And Huffman, Psc","2704 Old Rosebud Road, Suite 431",Lexington,KY,40509,(859) 263-4631,,,N/A,N/A,N/A,-84.42091975,38.02835906
3299,Physician Office Laboratories,"Hugh Hall, Psc",703 Mcdowell Boulevard Suite 100,Bardstown,KY,40004,(502) 349-1212,,,N/A,N/A,N/A,-85.47386306,37.82761445
3300,Physician Office Laboratories,Huntington Hospitalist Group - Louisa,20 Medical Heights,Louisa,KY,41230,(304) 525-7111,,,N/A,N/A,N/A,-82.60661117866343,-82.60661117866343
3301,Physician Office Laboratories,"Infinity Family Care, Pllc",104 Commerce St,Cadiz,KY,42211,(270) 512-2512,,,N/A,N/A,N/A,-87.79567841,36.86858962
3302,Physician Office Laboratories,Institute For Reproductive Health,2401 Terra Crossing Blvd Suite 325,Louisville,KY,40245,(513) 924-5550,,,N/A,N/A,N/A,-85.49562746,38.27209214
3303,Physician Office Laboratories,Institute For Reproductive Health,"6900 Houston Road, Building 600, Unit 15",Florence,KY,41042,(513) 924-5550,,,N/A,N/A,N/A,-84.64820525,39.00919649
3304,Physician Office Laboratories,Internal Medicine And Pediatric Partners,"6341 Meeting Street, Sute 102",Prospect,KY,40059,(502) 566-0300,,,N/A,N/A,N/A,-85.56615343,38.3318915
3305,Physician Office Laboratories,Internal Medicine Associates,"1401 Harrodsburg Rd, Ste B160",Lexington,KY,40504,(859) 276-4486,,,N/A,N/A,N/A,,
3306,Physician Office Laboratories,Interventional Pain Specialists Of Bowling Green,825 2Nd Avenue Suite C-6,Bowling Green,KY,42101,(270) 745-7246,,,N/A,N/A,N/A,-86.4281136,36.99551546
3307,Physician Office Laboratories,Invictus 4 Core,"3150 Custer Drive, Suite 101",Lexington,KY,40517,(859) 368-0434,,,N/A,N/A,N/A,-84.45930319,37.98858993
3308,Physician Office Laboratories,Irvington Primary Care,13988 East Hwy 60,Irvington,KY,40146,(270) 756-6542,,,N/A,N/A,N/A,-86.29480435,37.87020368
3309,Physician Office Laboratories,Isaiah House - Louisville,10801 Deering Road,Louisville,KY,40272,(859) 296-1334,,,N/A,N/A,N/A,-85.86098769,38.09740004
3310,Physician Office Laboratories,"Isaiah House, Inc","535 W 2Nd Street, Suite 301 & 310",Lexington,KY,40508,(859) 375-9200,,,N/A,N/A,N/A,-84.5008567,38.05408601
3311,Physician Office Laboratories,J & J Diagnostics,255 Church St Suite 1A,Pikeville,KY,41501,(606) 637-2273,,,N/A,N/A,N/A,-82.56667321,37.51749094
3312,Physician Office Laboratories,J David Outland Md,300 S 8Th Street Suite 405E,Murray,KY,42071,(270) 759-4500,,,N/A,N/A,N/A,-88.30861651,36.60749119
3313,Physician Office Laboratories,J Hilton Brooks Md,3603 West Cumberland Avenue,Middlesboro,KY,40965,(606) 269-5750,,,N/A,N/A,N/A,-83.73987454,36.6052005
3314,Physician Office Laboratories,J Kyle Turnbo Md Psc Dba,2331 New Holt Road,Paducah,KY,42001,(270) 441-4777,,,N/A,N/A,N/A,-88.69497822,37.06316572
3315,Physician Office Laboratories,"J Mike Guiler, Md Pllc Dba",3101 Beaumont Centre Circle,Lexington,KY,40513,(859) 277-5776,,,N/A,N/A,N/A,-84.55440133,38.01880426
3316,Physician Office Laboratories,J Ross Psc,2816 Veach Rd Suite 403,Owensboro,KY,42303,(270) 684-9218,J Ross,,N/A,N/A,N/A,-87.10168261,37.7462829
3317,Physician Office Laboratories,"J&L Healthcare Consultants, Llc Dba","2387 Professional Heights Drive, Suite 180",Lexington,KY,40503,(859) 967-9486,,,N/A,N/A,N/A,-84.51736574,38.00283582
3318,Physician Office Laboratories,"Jackson Health And Wellness Clinic, Llc","102 Physicians Blvd, Suite B",Glasgow,KY,42141,(270) 629-6722,,,N/A,N/A,N/A,-85.91222698,37.01616321
3319,Physician Office Laboratories,Jackson Purchase Ent & Aesthetic Surgery,1111 Medical Center Circle,Mayfield,KY,42066,(270) 251-4080,,,N/A,N/A,N/A,-88.65068276,36.75955234
3320,Physician Office Laboratories,Jackson Purchase Pediatrics Mayfield,111 Medical Center Circle,Mayfield,KY,42066,(270) 251-4117,,,N/A,N/A,N/A,-88.6513012,36.7587925
3321,Physician Office Laboratories,Jackson Purchase Primary Care - Convenient Care,"1029 Medical Center Circle, Suite 202",Mayfield,KY,42066,(270) 251-4115,,,N/A,N/A,N/A,-88.65229194,36.75940112
3322,Physician Office Laboratories,Jackson Purchase Primary Care - Hussain Clinic,417 S 6Th St,Mayfield,KY,42066,(270) 251-4117,,,N/A,N/A,N/A,-88.63466524,36.73825583
3323,Physician Office Laboratories,Jackson Purchase Primary Care Mayfield Clinic,1111 Medical Center Circle,Mayfield,KY,42066,(270) 251-4543,,,N/A,N/A,N/A,-88.65068276,36.75955234
3324,Physician Office Laboratories,Jackson Purchase Primary Care Mayfield Clinic,1111 Medical Center Circle,Mayfield,KY,42066,(270) 251-4055,,,N/A,N/A,N/A,-88.65068276,36.75955234
3325,Physician Office Laboratories,Jackson Purchase Urology,1029 Medical Center Circle,Mayfield,KY,42066,(270) 251-4115,,,N/A,N/A,N/A,-88.65229194,36.75940112
3326,Physician Office Laboratories,Jackson Womens Care,424 Jett Drive,Jackson,KY,41339,(606) 666-6240,,,N/A,N/A,N/A,-83.37021929,37.5644307
3327,Physician Office Laboratories,James D Frederick Md,430 Liberty Rd,West Liberty,KY,41472,(606) 743-3114,,,N/A,N/A,N/A,-83.2663585,37.92176083
3328,Physician Office Laboratories,James D Quarles Md,80C Michael Davenport Blvd Ste A,Frankfort,KY,40601,(502) 227-8681,,,N/A,N/A,N/A,-84.9165785,38.16053598
3329,Physician Office Laboratories,James L Ferrell Md And,2017 S Main Street,Paris,KY,40361,(606) 987-2200,,,N/A,N/A,N/A,-84.26902399,38.19810072
3330,Physician Office Laboratories,James P Crews Md,207 N Dixie Hwy,Cave City,KY,42127,(270) 773-3736,James Crews,,N/A,N/A,N/A,-85.9550327,37.13675566
3331,Physician Office Laboratories,Jamestown Healthcare Clinic,1417 North Main Street,Jamestown,KY,42629,(270) 343-2597,,,N/A,N/A,N/A,-85.05876294,36.97509368
3332,Physician Office Laboratories,"Jarvis Vision Center, Pllc",1806 N 4Th Street,Murray,KY,42071,(270) 759-1429,,,N/A,N/A,N/A,-88.30772807,36.63798344
